make,model,type,fuelType,engine,horsepower,torqueLbFt,chassis,transmission,yearStart,yearEnd,floorplanCount,floorplans,lengthMinFt,lengthMaxFt,weightMinLbs,weightMaxLbs,sleeps,slideouts,rating,engine2000_2005,horsepower2000_2005,engine2006_2015,horsepower2006_2015,engine2016_2026,horsepower2016_2026,freshWater,grayWater,blackWater,fuelCapacityGal,towingCapacity,generator
Coachmen,Beyond,Class B,Gas,Ford Transit 3.5L EcoBoost,310,,Ford Transit,,2018,2026,3,22D; 22RB; 22C,22,23,9500,11000,4,0,4.3,,,,,Ford Transit 3.5L EcoBoost,310,24,16,0,,3500,None (solar option)
Coachmen,Brookstone,Fifth Wheel,N/A (towable),,,,N/A (towable),,2012,2026,3,390RL; 395RL; 398MB,38,42,12000,16000,6,3,4.4,,,,,,,60,40,40,,0,
Coachmen,Catalina,Travel Trailer,N/A (towable),,,,N/A (towable),,2010,2026,11,243RBS; 261BH; 263BHS; 263BHSCK; 263FKDS; 273DBHCK; 283EPIC; 283RKS; 283RNR; 293QBCK; 303RKDS,26,36,5500,8500,8,1,4.2,,,,,,,38,30,30,,0,
Coachmen,Chaparral,Fifth Wheel,N/A (towable),,,,N/A (towable),,2008,2026,4,336TSIK; 360IBL; 373MBRB; 370FL,34,40,10000,14000,8,3,4.3,,,,,,,60,40,40,,0,
Coachmen,Concord,Class C,Gas,Ford 7.3L V8,350,,Ford E-450,,2010,2026,5,280DS; 290DS; 300DS; 310BH; 320BH,28,33,13000,15500,7,2,4.3,,,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,Ford 7.3L V8,350,48,32,32,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Encore,Class A Gas,Gas,Ford 7.3L Godzilla / V10 (by year),350,,Ford F53,,2010,2026,4,325SS; 330TS; 370FL; 370RB,32,37,24000,30000,6,3,4.4,,,Ford Triton V10 6.8L,320,Ford 7.3L Godzilla / V10 (by year),350,82,44,42,,5000,Onan 5500W Gas MicroQuiet
Coachmen,Freedom Express,Travel Trailer,N/A (towable),,,,N/A (towable),,2012,2026,10,192RBS; 20SE; 23SE; 246RKS; 257BHS; 259FKDS; 292BHDS; 320BHDS; 326BHDE; 326BHDS,20,36,3800,7800,8,1,4.25,,,,,,,40,30,30,,0,
Coachmen,Freelander,Class C,Gas,Ford 7.3L / 6.2L (by year),350,,Ford E-450,,2005,2026,9,21RS; 22XG; 26DS; 27QB; 28BH; 30BH; 31BH; 32BH; 32FS,21,32,11000,16000,8,1,4.2,Ford Triton V10 6.8L,305,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,Ford 7.3L / 6.2L (by year),350,50,28,28,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Freelander LE,Class C,Gas,Ford 7.3L / 6.2L,350,,Ford E-450,,2015,2026,6,21RS; 22XG; 24BH; 26DS; 27QB; 28BH,21,28,10000,13000,6,1,4.2,,,Ford Triton V10 6.8L,320,Ford 7.3L / 6.2L,350,44,30,30,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Galleria,Class B,Diesel,Mercedes-Benz diesel,188,,Mercedes Sprinter,,2016,2026,4,24A; 24FL; 24Q; 24T,24,25,10500,12000,4,0,4.5,,,,,Mercedes-Benz diesel,188,28,20,20,,5000,None (solar + lithium option)
Coachmen,Leprechaun,Class C,Gas,Ford 7.3L / Chevy 6.6L (by chassis),350,,Ford E-450 / Chevy 4500,,2000,2026,11,210RS; 220QB; 220XG; 240FS; 260DS; 260FS; 280BH; 298KB; 300BH; 311FS; 319MB,21,33,10000,15500,9,1,4.3,Ford Triton V10 6.8L,305,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,Ford 7.3L / Chevy 6.6L (by chassis),350,50,26,26,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Leprechaun Premier,Class C,Gas,Ford 7.3L V8,350,,Ford E-450,,2016,2026,6,260FS; 280BH; 298KB; 300BH; 311FS; 319MB,26,32,12500,15000,7,2,4.4,,,,,Ford 7.3L V8,350,44,30,30,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Mirada,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,,Ford F53,,2007,2026,4,29FW; 31FW; 35BH; 35OS,29,35,20000,26000,7,2,4.2,,,Ford Triton V10 6.8L,320,Ford 7.3L / V10 (by year),350,75,40,40,,5000,Onan 5500W Gas MicroQuiet
Coachmen,Prism,Class C,Diesel,Mercedes-Benz 3.0L V6 / 2.0L I4 (by year),211,,Mercedes Sprinter,,2013,2026,6,2150CB; 2200LE; 24CB; 24EX; 24FWS; 25FWS,22,26,10500,14000,4,0,4.5,,,Mercedes-Benz 3.0L V6 turbodiesel (Sprinter),188,Mercedes-Benz 3.0L V6 / 2.0L I4 (by year),211,30,22,22,,5000,Onan 2800W Diesel
Coachmen,Pursuit,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,,Ford F53,,2006,2026,4,29SS; 31BH; 33BH; 33XPS,29,33,20000,25000,8,2,4.2,,,Ford Triton V10 6.8L,320,Ford 7.3L / V10 (by year),350,70,38,38,,5000,Onan 4000W Gas MicroQuiet
Coachmen,Sportscoach,Class A Diesel,Diesel,Cummins ISB / B6.7 ~340HP,340,,Freightliner,,2010,2026,4,364TS; 389QB; 403QBC; 407FW,36,40,38000,44000,6,3,4.4,,,Cummins ISB / ISL mid-diesel (era),340,Cummins ISB / B6.7 ~340HP,340,85,45,45,,10000,Onan 8000W Diesel QD
Coachmen,Sportscoach SRS Super C,Super C,Diesel,Ford Power Stroke 6.7L Diesel,330,,Ford F-550,,2018,2026,4,339DS; 350RB; 365RB; 376DB,33,38,24000,30000,6,3,4.5,,,,,Ford Power Stroke 6.7L Diesel,330,70,40,40,,15000,Onan 6000W Diesel
Country Coach,Allure,Class A Diesel,Diesel,Cummins ISL 450HP,450,,Country Coach Custom,,1997,2009,3,42B; 45B; 42Q,40,45,44000,52000,6,3,4.8,Cummins ISL 400–450HP class,400,Cummins ISL 400–450HP class,400,,,100,55,52,,10000,Onan 10000W Diesel QD
Country Coach,Inspire,Class A Diesel,Diesel,Cummins ISX 600HP,600,,Country Coach Custom,,1998,2009,4,360; 380; 390; 45DL,36,45,50000,58000,4,4,4.9,Cummins ISX 600HP class,600,Cummins ISX 600HP class,600,,,120,65,60,,10000,Onan 12500W Diesel QD
Country Coach,Intrigue,Class A Diesel,Diesel,Cummins X15 605HP,605,,Country Coach Custom Stainless,,1999,2009,4,500; 510; 530; 540,40,45,52000,60000,4,4,4.9,Cummins ISX 600HP class,600,Cummins ISX 600HP class,600,,,130,70,65,,10000,Onan 15000W Diesel QD
Crossroads,Cameo,Fifth Wheel,N/A (towable),,,,N/A,,2005,2026,3,2850BL; 3531RD; 3680MB,28,37,11000,16000,6,3,4.3,,,,,,,58,38,38,,0,
Crossroads,Cruiser Aire,Fifth Wheel,N/A (towable),,,,N/A,,2010,2026,3,28RL; 30RL; 32EL,28,34,7500,10500,6,2,4.2,,,,,,,60,40,40,,0,
Crossroads,Redwood,Fifth Wheel,N/A (towable),,,,N/A,,2012,2026,3,3401RL; 3901RL; 4150RD,35,43,12000,17000,6,3,4.5,,,,,,,60,40,40,,0,
Crossroads,Sunset Trail,Travel Trailer,N/A (towable),,,,N/A,,2005,2026,3,SS228RK; SS260BH; SS295QB,22,30,5500,8000,8,1,4.2,,,,,,,48,30,30,,0,
Crossroads,Volante,Fifth Wheel,N/A (towable),,,,N/A,,2014,2026,3,270RL; 310BH; 3201RL,28,35,7000,11000,6,2,4.2,,,,,,,60,40,40,,0,
Crossroads,Zinger TH,Toy Hauler,N/A (towable),,,,N/A,,2013,2026,3,298BH; 310BH; 330TH,30,36,7000,10000,8,1,4.1,,,,,,,50,30,30,,0,Generator prep
Damon Motor Coach,Daybreak,Class A Gas,Gas,Ford V10 6.8L,320,,Ford F53,,1997,2009,3,3270; 3374; 3376,32,37,20000,25000,7,2,4.1,Ford Triton V10 6.8L,320,Ford Triton V10 6.8L,320,,,70,36,36,,5000,Onan 5500W Gas MicroQuiet
Damon Motor Coach,Ultrasport,Class A Gas,Gas,Ford V10 6.8L,320,,Ford F53,,1999,2009,4,4351; 4371; 4391; 4373,33,39,22000,27000,7,2,4.2,Ford Triton V10 6.8L,320,Ford Triton V10 6.8L,320,,,78,40,40,,5000,Onan 5500W Gas MicroQuiet
DRV,Elite Suites,Fifth Wheel,N/A (towable),,,,N/A,,2012,2026,3,38RSSA; 40KSSB; 43RSSB,38,44,16000,21000,4,4,4.7,,,,,,,85,60,50,,0,
DRV,Full House,Toy Hauler,N/A (towable),,,,N/A,,2010,2026,3,LX455; LX450; MX450,42,46,18000,22000,6,3,4.8,,,,,,,100,60,50,,0,Onan 5500–8000W Gas/Diesel package
DRV,Mobile Suites,Fifth Wheel,N/A (towable),,,,N/A,,2008,2026,4,36RSSB3; 38RSSB3; 41RSSB4; 44RSSB4,36,44,18000,22000,4,4,4.8,,,,,,,80,56,56,,0,
DRV,Tradition,Fifth Wheel,N/A (towable),,,,N/A,,2008,2026,3,350RLS; 355LBSS; 390RLS,35,40,16000,20000,6,3,4.6,,,,,,,70,48,48,,0,
Dutchmen,Aerolite,Travel Trailer,N/A (towable),,,,N/A (towable),,2005,2026,5,1923RB; 2133RB; 2423BH; 2603QB; 2830QB,19,30,3500,6500,8,1,4.1,,,,,,,36,28,28,,0,
Dutchmen,Aspen Trail,Travel Trailer,N/A (towable),,,,N/A (towable),,2012,2026,7,17BH; 1950BH; 25BH; 26BH; 2810BHS; 2850BHS; 3020BHS,18,34,3500,7500,8,1,4.15,,,,,,,40,30,30,,0,
Dutchmen,Aspen Trail FW,Fifth Wheel,N/A (towable),,,,N/A (towable),,2012,2026,5,2860RL; 2910BH; 3010BH; 3250RLS; 3330RLS,28,35,7500,12000,8,3,4.2,,,,,,,50,50,35,,0,
Dutchmen,Astoria,Fifth Wheel,N/A (towable),,,,N/A (towable),,2012,2026,4,2913RL; 3213RLP; 3503RLD; 3553RLT,29,37,9000,14000,6,3,4.3,,,,,,,54,60,36,,0,
Dutchmen,Coleman,Travel Trailer,N/A (towable),,,,N/A (towable),,2006,2026,10,17B; 19BH; 22MHC; 2405BH; 2455RL; 2555BH; 263BH; 2855BH; 3005RL; 3225BH,18,35,3000,8500,10,1,4.1,,,,,,,40,30,30,,0,
Dutchmen,Infinity,Fifth Wheel,N/A (towable),,,,N/A (towable),,2015,2026,4,3370RL; 3550FL; 3750FL; 3920MB,33,40,11000,16000,8,3,4.3,,,,,,,60,70,40,,0,
Dutchmen,Kodiak,Travel Trailer,N/A (towable),,,,N/A (towable),,2006,2026,10,200BHSL; 201QBSL; 248BHSL; 261RBSL; 263BHSL; 283BHSL; 294BHSL; 296BHSL; 331BHSL; 332BHSL,22,36,4500,8500,10,1,4.2,,,,,,,44,32,32,,0,
Dutchmen,Voltage,Toy Hauler,N/A (towable),,,,N/A (towable),,2010,2026,6,3200; 3415; 3605; 3855; 3905; 4135,34,44,12000,18000,8,3,4.3,,,,,,,100,50,50,,0,Onan 5500W Gas (optional)
Dutchmen,Voltage V-Series,Toy Hauler,N/A (towable),,,,N/A (towable),,2014,2026,4,2705; 3200; 3605; 3905,28,40,9000,15000,8,2,4.25,,,,,,,80,40,40,,0,Generator prep
Dutchmen,Yukon,Fifth Wheel,N/A (towable),,,,N/A (towable),,2008,2026,5,343RLB; 381MBL; 393RLB; 397RLB; 399ML,34,41,12000,18000,8,4,4.35,,,,,,,60,70,40,,0,
Dynamax,DX3,Super C,Diesel,Ford 6.7L Power Stroke Diesel,330,,Ford F-550 Super Duty,,2015,2026,3,34KD; 37KD; 37TS,34,37,24000,32000,6,2,4.55,,,Ford 6.7L Power Stroke Diesel,330,Ford 6.7L Power Stroke Diesel,330,80,45,45,,15000,Onan 5.5–8kW Diesel
Dynamax,DynaQuest,Super C,Diesel,Ford 6.7L Power Stroke Diesel,330,950,Ford F-600 / Super C platform,,2008,2026,4,XL 3400; XL 3700; XL 3800; XL 3900,34,39,28000,36000,6,3,4.75,,,Ford 6.7L Power Stroke / Super C diesel (era),300,Ford 6.7L Power Stroke Diesel ~330HP,330,90,50,50,68,20000,Onan 8kW Diesel QD
Dynamax,Europa,Super C,Diesel,Ford 6.7L Power Stroke Diesel,330,950,Ford F-550 Super Duty,TorqShift automatic,2010,2026,4,31SS; 31RB; 33E; 34SS,31,34,22000,30000,6,2,4.6,,,Ford 6.7L Power Stroke Diesel,300,Ford 6.7L Power Stroke Diesel ~330HP,330,75,42,42,68,15000,Onan 5.5–6kW Diesel QD
Dynamax,Force,Super C,Diesel,Ford 6.7L Power Stroke Diesel,330,950,Ford F-600 Super Duty,TorqShift automatic,2012,2026,5,36FK; 37RB; 36BHK; 38TSK; 40TS,36,40,26000,36000,8,3,4.7,,,Ford 6.7L Power Stroke Diesel,300,Ford 6.7L Power Stroke Diesel ~330HP,330,90,50,50,68,22000,Onan 8kW Diesel QD
Dynamax,Grand Sport,Super C,Diesel,Cummins / Ford Super C diesel (era),300,,Freightliner / Ford Super C,,2005,2016,3,3300; 3500; 3700,33,37,22000,32000,6,2,4.4,Cummins or Ford Super C diesel (by chassis year),300,Cummins or Ford Super C diesel (by chassis year),300,Cummins or Ford Super C diesel (by chassis year),300,70,40,40,,12000,Onan Diesel QD
Dynamax,Isata 3,Class C,Gas,Ford Transit 3.5L EcoBoost V6,310,400,Ford Transit,,2016,2026,5,24FW; 24CB; 26DS; 24CB SD; 28SS,24,29,10000,12500,4,0,4.45,,,,,Ford Transit 3.5L EcoBoost V6 ~310HP,310,35,25,25,,5000,None (solar option) / optional
Dynamax,Isata 4,Class C,Diesel,Mercedes-Benz Sprinter turbodiesel,188,,Mercedes-Benz Sprinter,,2019,2026,5,24FW; 26DS; 26RK; 28SS; 28DS,24,28,10000,12500,4,1,4.55,,,,,Mercedes-Benz 2.0L I4 turbodiesel ~208HP,208,40,28,28,,5000,Onan 3600W / diesel option
Dynamax,Isata 5,Class C,Diesel,Mercedes-Benz Sprinter turbodiesel,188,,Mercedes-Benz Sprinter,,2014,2026,6,24FW; 26CB; 26DS; 27BH; 28SS; 30FW,24,30,10000,13000,6,0,4.6,,,Mercedes-Benz 3.0L V6 turbodiesel,188,Mercedes-Benz 2.0L I4 turbodiesel ~208HP,208,35,25,25,,5000,Onan 2800–3600W Diesel
Entegra Coach,Accolade,Super C,Diesel,Cummins Super C diesel ~340HP,340,,Freightliner Super C,,2015,2026,3,37L; 37M; 37K,37,38,26000,34000,6,2,4.55,,,Cummins Super C diesel ~340HP,340,Cummins Super C diesel ~340HP,340,60,40,40,,5000,Onan / Generac
Entegra Coach,Accolade XL,Super C,Diesel,Cummins Super C diesel,340,,Freightliner Super C,,2018,2026,2,37M; 37K,37,38,27000,35000,6,2,4.55,,,,,Cummins Super C diesel,340,60,40,40,,5000,Onan / Generac
Entegra Coach,Anthem,Class A Diesel,Diesel,Cummins L9 / X12 450–500HP,450,1250,Spartan K3,Allison 3000 MH,2014,2026,4,42DEQ; 44B; 44W; 44D,42,45,42000,52000,6,4,4.8,,,Cummins ISL / ISB 300–450HP (era),380,Cummins L9 / X12 450–500HP,450,60,40,40,,15000,Onan / Generac
Entegra Coach,Aspire,Class A Diesel,Diesel,Cummins L9 450HP,450,1250,Spartan K3 / Freightliner (by year),,2015,2026,3,38R; 42D; 44R,38,44,38000,48000,6,2,4.7,,,Cummins ISL / ISB 300–450HP (era),380,Cummins L9 450HP,450,60,40,40,,5000,Onan / Generac
Entegra Coach,Cornerstone,Class A Diesel,Diesel,Cummins X15 605HP,605,1950,Spartan K3,Allison 4000 MH,2014,2026,5,45A; 45B; 45W; 45Z; 45X,45,45,50000,58000,6,4,4.9,,,Cummins ISL / ISB 300–450HP (era),380,Cummins X15 605HP,605,100,60,50,150,15000,Onan 10–12.5kW Diesel QD
Entegra Coach,Esteem,Class C,Gas,Ford 7.3L V8,350,,Ford E-450,,2014,2026,3,26U; 29V; 31W,26,32,11000,14500,6,2,4.3,,,Ford 6.8L V10 / 6.2L V8 (by year),305,Ford 7.3L V8 Godzilla,350,60,40,40,,5000,Onan / Generac
Entegra Coach,Expanse,Class C,Gas,Ford Transit gas,310,,Ford Transit,,2018,2026,2,21B; 21D,21,24,9000,12000,6,2,4.35,,,,,Ford Transit gas,310,60,40,40,,5000,Onan / Generac
Entegra Coach,Qwest,Class C,Diesel,Mercedes-Benz Sprinter turbodiesel,188,,Mercedes-Benz Sprinter,,2015,2026,2,24L; 24R,24,25,10000,12000,6,2,4.45,,,Mercedes-Benz Sprinter 3.0L V6 turbodiesel,188,Mercedes-Benz 2.0L I4 turbodiesel,208,60,40,40,,5000,Onan / Generac
Entegra Coach,Reatta,Class A Diesel,Diesel,Cummins B6.7 360HP,360,800,Spartan K1,Allison 3000 MH,2016,2026,3,37K; 39BH; 39W,37,39,30000,38000,6,3,4.55,,,,,Cummins B6.7 360HP,360,80,50,45,90,10000,Onan 8kW Diesel QD
Entegra Coach,Reatta XL,Class A Diesel,Diesel,Cummins B6.7 360HP,360,800,Spartan K1,,2018,2026,3,37K; 39BH; 39W,37,39,30000,39000,6,2,4.55,,,,,Cummins B6.7 360HP,360,60,40,40,,5000,Onan / Generac
Entegra Coach,Vision,Class A Gas,Gas,Ford 7.3L Godzilla / V10 (by year),350,,Ford F53,,2014,2026,4,27A; 29S; 31B; 36A,27,36,15000,22000,8,2,4.45,,,Ford Triton V10 6.8L ~305–362HP,320,Ford 7.3L V8 Godzilla 350HP,350,60,40,40,,5000,Onan / Generac
Entegra Coach,Vision XL,Class A Gas,Gas,Ford 7.3L V8 Godzilla,350,,Ford F53,,2019,2026,3,29S; 31B; 36A,29,36,16000,23000,6,2,4.45,,,,,Ford 7.3L V8 Godzilla,350,60,40,40,,5000,Onan / Generac
Fleetwood,Bounder,Class A Gas,Gas,Ford 7.3L Godzilla / V10 (by year),350,,Ford F53,,1985,2026,4,33C; 35K; 36H; 36F,33,36,16000,22000,8,2,4.35,Ford Triton V10 6.8L ~305–362HP,320,Ford Triton V10 6.8L ~305–362HP,320,Ford 7.3L V8 Godzilla 350HP,350,80,45,45,,5000,Onan Diesel / Gas
