make,model,type,fuelType,from,to,engine,horsepower,torqueLbFt,chassis,notes
Country Coach,Allure,Class A Diesel,Diesel,2000,2008,Cummins ISL 400–450HP class,400,,Freightliner / Spartan (by option),High-line diesel 2006–2015 — ISL class (not Ford gas)
Country Coach,Inspire,Class A Diesel,Diesel,2000,2008,Cummins ISX 600HP class,600,,Spartan / Freightliner (by model),Flagship diesel era — ISX 600 class (pre-X15 naming)
Country Coach,Intrigue,Class A Diesel,Diesel,2000,2008,Cummins ISX 600HP class,600,,Spartan / Freightliner (by model),Flagship diesel era — ISX 600 class (pre-X15 naming)
Damon Motor Coach,Daybreak,Class A Gas,Gas,2000,2009,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Damon Motor Coach,Ultrasport,Class A Gas,Gas,2000,2009,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Dynamax,DX3,Super C,Diesel,2015,2026,Ford 6.7L Power Stroke Diesel,330,,Ford F-550 Super C,
Dynamax,DynaQuest,Super C,Diesel,2008,2015,Ford 6.7L Power Stroke / Super C diesel (era),300,,Ford Super C platform,
Dynamax,DynaQuest,Super C,Diesel,2016,2026,Ford 6.7L Power Stroke Diesel ~330HP,330,950,Ford F-600 Super C,
Dynamax,Europa,Super C,Diesel,2010,2015,Ford 6.7L Power Stroke Diesel,300,,Ford F-550,
Dynamax,Europa,Super C,Diesel,2016,2026,Ford 6.7L Power Stroke Diesel ~330HP,330,950,Ford F-550 Super Duty,
Dynamax,Force,Super C,Diesel,2012,2016,Ford 6.7L Power Stroke Diesel,300,,Ford F-550/F-600 Super C,
Dynamax,Force,Super C,Diesel,2017,2026,Ford 6.7L Power Stroke Diesel ~330HP,330,950,Ford F-600 Super Duty,
Dynamax,Grand Sport,Super C,Diesel,2005,2016,Cummins or Ford Super C diesel (by chassis year),300,,Super C platform,Confirm chassis badge — era Super C varies
Dynamax,Isata 3,Class C,Gas,2016,2019,Ford Transit 3.5L EcoBoost V6,310,,Ford Transit,
Dynamax,Isata 3,Class C,Gas,2020,2026,Ford Transit 3.5L EcoBoost V6 ~310HP,310,400,Ford Transit,
Dynamax,Isata 4,Class C,Diesel,2019,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Dynamax,Isata 4,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel ~208HP,208,,Mercedes Sprinter,
Dynamax,Isata 5,Class C,Diesel,2014,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Dynamax,Isata 5,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel ~208HP,208,,Mercedes Sprinter,
Entegra Coach,Accolade,Super C,Diesel,2015,2026,Cummins Super C diesel ~340HP,340,,Freightliner Super C,
Entegra Coach,Accolade XL,Super C,Diesel,2018,2026,Cummins Super C diesel,340,,Freightliner Super C,
Entegra Coach,Anthem,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Spartan K3,2010–2015 mid/high diesel Class A
Entegra Coach,Anthem,Class A Diesel,Diesel,2016,2019,Cummins L9 450HP,450,,Spartan K3,
Entegra Coach,Anthem,Class A Diesel,Diesel,2020,2026,Cummins L9 / X12 450–500HP,450,,Spartan K3,
Entegra Coach,Aspire,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Spartan K3 / Freightliner (by year),2010–2015 mid/high diesel Class A
Entegra Coach,Aspire,Class A Diesel,Diesel,2016,2026,Cummins L9 450HP,450,,Spartan / Freightliner,
Entegra Coach,Cornerstone,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Spartan K3,2010–2015 mid/high diesel Class A
Entegra Coach,Cornerstone,Class A Diesel,Diesel,2016,2018,Cummins ISX 600HP class,600,,Spartan K3,
Entegra Coach,Cornerstone,Class A Diesel,Diesel,2019,2026,Cummins X15 605HP,605,1950,Spartan K3,
Entegra Coach,Esteem,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Entegra Coach,Esteem,Class C,Gas,2016,2019,Ford 6.2L / V10,305,,Ford E-450,
Entegra Coach,Esteem,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford E-450,
Entegra Coach,Expanse,Class C,Gas,2018,2026,Ford Transit gas,310,,Ford Transit,
Entegra Coach,Qwest,Class C,Diesel,2015,2015,Mercedes-Benz Sprinter 3.0L V6 turbodiesel,188,,Mercedes-Benz Sprinter,Sprinter diesel Class C era
Entegra Coach,Qwest,Class C,Diesel,2016,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Entegra Coach,Qwest,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Entegra Coach,Reatta,Class A Diesel,Diesel,2016,2026,Cummins B6.7 360HP,360,800,Spartan K1,Inline-six B6.7 — not ISL 8.9
Entegra Coach,Reatta XL,Class A Diesel,Diesel,2018,2026,Cummins B6.7 360HP,360,,Spartan K1,
Entegra Coach,Vision,Class A Gas,Gas,2014,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Entegra Coach,Vision,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Entegra Coach,Vision,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford F53,
Entegra Coach,Vision XL,Class A Gas,Gas,2019,2019,Ford Triton V10 / 7.3L transition,320,,Ford F53,
Entegra Coach,Vision XL,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Fleetwood,Bounder,Class A Gas,Gas,2005,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Fleetwood,Bounder,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Fleetwood,Bounder,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford F53,
Fleetwood,Bounder Classic,Class A Gas,Gas,2010,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Fleetwood,Bounder Classic,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Fleetwood,Bounder Classic,Class A Gas,Gas,2020,2022,Ford 7.3L V8,350,,Ford F53,
Fleetwood,Discovery,Class A Diesel,Diesel,2005,2010,Cummins ISB 6.7 300–340HP (by year),320,,Freightliner XC,Pre-ISB 360 common packaging
Fleetwood,Discovery,Class A Diesel,Diesel,2011,2016,Cummins ISB 6.7 ~340–360HP,340,,Freightliner XC-Series,Discovery gas never used 8.9L ISL — diesel ISB family
Fleetwood,Discovery,Class A Diesel,Diesel,2017,2026,Cummins B6.7 (ISB) 360HP,360,,Freightliner XC-Series,2022 Discovery 38K = B6.7 360HP Freightliner — NOT 8.9L ISL
Fleetwood,Discovery LXE,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner / Spartan (by option),2010–2015 mid/high diesel Class A
Fleetwood,Discovery LXE,Class A Diesel,Diesel,2016,2018,Cummins ISL / L9 450HP,450,,Freightliner XC,
Fleetwood,Discovery LXE,Class A Diesel,Diesel,2019,2026,Cummins L9 450HP (higher options by build),450,,Freightliner / Spartan option,
Fleetwood,Flair,Class A Gas,Gas,2008,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Fleetwood,Flair,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Fleetwood,Flair,Class A Gas,Gas,2020,2026,Ford 7.3L V8,350,,Ford F53,
Fleetwood,Jamboree,Class C,Gas,2005,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Fleetwood,Jamboree,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Fleetwood,Jamboree,Class C,Gas,2016,2019,Ford 6.2L / V10,305,,Ford E-450,
Fleetwood,Jamboree,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Fleetwood,Pace Arrow,Class A Gas,Gas,2005,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Fleetwood,Pace Arrow,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Fleetwood,Pace Arrow,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Fleetwood,Pulse,Class C,Diesel,2014,2015,Mercedes-Benz Sprinter 3.0L V6 turbodiesel,188,,Mercedes-Benz Sprinter,Sprinter diesel Class C era
Fleetwood,Pulse,Class C,Diesel,2016,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Fleetwood,Pulse,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Fleetwood,Storm,Class A Gas,Gas,2005,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Fleetwood,Storm,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Fleetwood,Storm,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Fleetwood,Tioga,Class C,Gas,2005,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Fleetwood,Tioga,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Fleetwood,Tioga,Class C,Gas,2016,2019,Ford 6.2L / V10,305,,Ford E-450,
Fleetwood,Tioga,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford E-450,
Fleetwood,Tioga Ranger,Class C,Gas,2010,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Fleetwood,Tioga Ranger,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Fleetwood,Tioga Ranger,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Fleetwood,Tioga Ranger,Class C,Gas,2020,2024,Ford 7.3L V8,350,,Ford E-450,
Fleetwood,Xcursion,Class B,Diesel / Gas,2024,2026,Sprinter turbodiesel or ProMaster gas,208,,Van chassis by package,
Fleetwood Classic,American Heritage,Class A Diesel,Diesel,2000,2005,Cummins ISB / ISC mid-diesel (era),300,,Freightliner XC,"Mid diesel pusher 2000–2005 — Cummins diesel, not Ford 7.3 gas"
Fleetwood Classic,Providence,Class A Diesel,Diesel,2000,2006,Cummins ISX 600HP,600,,Spartan K3,Fleetwood Providence flagship diesel — ISX 600 class (pre-X15 naming)
Forest River,Berkshire,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner XC-Series,2010–2015 mid/high diesel Class A
Forest River,Berkshire,Class A Diesel,Diesel,2016,2019,Cummins ISB / B6.7 340HP,340,,Freightliner XC,
Forest River,Berkshire,Class A Diesel,Diesel,2020,2026,Cummins B6.7 / L9 340–450HP,340,,Freightliner XC-Series,
Forest River,Dynamax Isata (FR),Class C,Diesel,2018,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Forest River,Dynamax Isata (FR),Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Forest River,Forester,Class C,Gas,2005,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Forest River,Forester,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Forest River,Forester,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Forest River,Forester,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Forest River,Forester LE,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Forest River,Forester LE,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Forest River,Forester LE,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Forest River,FR3,Class A Gas,Gas,2015,2019,Ford Triton V10 6.8L,320,460,Ford F53,Pre-Godzilla FR3 — Triton V10 F53 gas Class A
Forest River,FR3,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,335,468,Ford F53,OEM FR3 brochure: Ford F53 · 7.3L V8 · 335 HP · 468 lb-ft · TorqShift 6-spd (not diesel)
Forest River,Georgetown,Class A Gas,Gas,2005,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Forest River,Georgetown,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Forest River,Georgetown,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Forest River,Georgetown 5 Series,Class A Gas,Gas,2014,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Forest River,Georgetown 5 Series,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Forest River,Georgetown 5 Series,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford F53,
Forest River,Georgetown XL,Class A Gas,Gas,2012,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Forest River,Georgetown XL,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Forest River,Georgetown XL,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Forest River,Solera,Class C,Diesel,2017,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Forest River,Solera,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Forest River,Sunseeker,Class C,Gas,2005,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Forest River,Sunseeker,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Forest River,Sunseeker,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Forest River,Sunseeker,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Forest River,Sunseeker Classic,Class C,Gas,2008,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Forest River,Sunseeker Classic,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Forest River,Sunseeker Classic,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Forest River,Sunseeker Classic,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Forest River,Sunseeker LE,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Forest River,Sunseeker LE,Class C,Gas,2016,2019,Ford 6.2L V8,305,,Ford E-450,
Forest River,Sunseeker LE,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Georgie Boy,Cruise Master,Class A Gas,Gas,2000,2007,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Georgie Boy,Pursuit,Class A Gas,Gas,2000,2007,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Gulf Stream Coach,BT Cruiser,Class C,Gas,2008,2015,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Gulf Stream Coach,Conquest,Class A Gas,Gas,2000,2012,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Gulf Stream Coach,Crescendo,Class A Diesel,Diesel,2000,2010,Cummins ISB / ISL mid-diesel (era),340,,Freightliner XC,"Mid diesel pusher 2006–2015 — not F53 gas, not modern L9 default"
Gulf Stream Coach,Yellowstone,Class C,Gas,2012,2015,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Holiday Rambler,Ambassador,Class A Diesel,Diesel,2005,2009,Cummins ISL / ISB diesel (era),350,,Freightliner XCS / XC,2005–2009 diesel Class A — confirm build sheet (ISL/ISB/Cat by OEM)
Holiday Rambler,Ambassador,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner XCS / XC,2010–2015 mid/high diesel Class A
Holiday Rambler,Ambassador,Class A Diesel,Diesel,2016,2019,Cummins ISL 380HP class,380,,Freightliner XCS,
Holiday Rambler,Ambassador,Class A Diesel,Diesel,2020,2026,Cummins L9 / B6.7 class,380,,Freightliner XC,
Holiday Rambler,Armada,Class A Diesel,Diesel,2019,2026,Cummins B6.7 / L9 360–450HP,360,,Freightliner XC,
Holiday Rambler,Augusta,Class C,Gas,2010,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Holiday Rambler,Augusta,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Holiday Rambler,Augusta,Class C,Gas,2016,2019,Ford 6.2L / V10,305,,Ford E-450,
Holiday Rambler,Augusta,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford E-450,
Holiday Rambler,Invicta,Class A Gas,Gas,2010,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Holiday Rambler,Invicta,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Holiday Rambler,Invicta,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Holiday Rambler,Navigator,Class A Diesel,Diesel,2005,2009,Cummins ISL / ISB diesel (era),350,,Freightliner XC-Series,2005–2009 diesel Class A — confirm build sheet (ISL/ISB/Cat by OEM)
Holiday Rambler,Navigator,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner XC-Series,2010–2015 mid/high diesel Class A
Holiday Rambler,Navigator,Class A Diesel,Diesel,2016,2019,Cummins ISB / B6.7 360HP,360,,Freightliner XC,
Holiday Rambler,Navigator,Class A Diesel,Diesel,2020,2026,Cummins B6.7 / L9 360–450HP,360,,Freightliner XC-Series,
Holiday Rambler,Vacationer,Class A Gas,Gas,2005,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Holiday Rambler,Vacationer,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Holiday Rambler,Vacationer,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford F53,
Holiday Rambler,Xpedition,Class B,Diesel / Gas,2024,2026,Sprinter turbodiesel or ProMaster gas,208,,Van chassis,
Jayco,Alante,Class A Gas,Gas,2015,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
Jayco,Alante,Class A Gas,Gas,2016,2019,Ford Triton V10 6.8L,320,,Ford F53,
Jayco,Alante,Class A Gas,Gas,2020,2026,Ford 7.3L V8 Godzilla,350,,Ford F53,
Jayco,Embark,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner XC-Series,2010–2015 mid/high diesel Class A
Jayco,Embark,Class A Diesel,Diesel,2016,2019,Cummins ISB / B6.7 360HP,360,,Freightliner XC,
Jayco,Embark,Class A Diesel,Diesel,2020,2026,Cummins B6.7 / L9 360–450HP,360,,Freightliner XC-Series,
Jayco,Greyhawk,Class C,Gas,2008,2010,Ford V10 / 6.8L or 6.0L (by year),305,,Ford E-450 / E-350,Pre-6.2/7.3 Ford cutaway Class C
Jayco,Greyhawk,Class C,Gas,2011,2015,Ford 6.8L V10 / 6.2L V8 (by year),305,,Ford E-450,2011–2015 Ford Class C cutaway
Jayco,Greyhawk,Class C,Gas,2016,2019,Ford 6.2L / V10 (by year),305,,Ford E-450,
Jayco,Greyhawk,Class C,Gas,2020,2026,Ford 7.3L V8 Godzilla 350HP,350,,Ford E-450,
Jayco,Melbourne,Class C,Diesel,2012,2015,Mercedes-Benz Sprinter 3.0L V6 turbodiesel,188,,Mercedes-Benz Sprinter,Sprinter diesel Class C era
Jayco,Melbourne,Class C,Diesel,2016,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Jayco,Melbourne,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Jayco,Melbourne Prestige,Class C,Diesel,2014,2015,Mercedes-Benz Sprinter 3.0L V6 turbodiesel,188,,Mercedes-Benz Sprinter,Sprinter diesel Class C era
Jayco,Melbourne Prestige,Class C,Diesel,2016,2021,Mercedes-Benz 3.0L V6 turbodiesel,188,,Mercedes Sprinter,
Jayco,Melbourne Prestige,Class C,Diesel,2022,2026,Mercedes-Benz 2.0L I4 turbodiesel,208,,Mercedes Sprinter,
Jayco,Precept,Class A Gas,Gas,2014,2015,Ford Triton V10 6.8L ~305–362HP,320,,Ford F53,Pre-Godzilla gas Class A — Triton V10 era (7.3L arrives ~2020)
