RvFACTS catalog powertrain — 2026-08-10T04:15:44Z
Makes 50 · Models 363

Motorized (yearEnd>=2016) engine / HP:
- Airstream Atlas: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Dynamax Grand Sport: Cummins / Ford Super C diesel (era) | HP=300 | Diesel | Super C
- Dynamax Isata 3: Ford Transit 3.5L EcoBoost V6 | HP=310 | Gas | Class C
- Dynamax Isata 4: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Dynamax Isata 5: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Entegra Coach Accolade: Cummins Super C diesel ~340HP | HP=340 | Diesel | Super C
- Entegra Coach Accolade XL: Cummins Super C diesel | HP=340 | Diesel | Super C
- Entegra Coach Anthem: Cummins L9 / X12 450–500HP | HP=450 | Diesel | Class A Diesel
- Entegra Coach Aspire: Cummins L9 450HP | HP=450 | Diesel | Class A Diesel
- Entegra Coach Cornerstone: Cummins X15 605HP | HP=605 | Diesel | Class A Diesel
- Entegra Coach Esteem: Ford 7.3L V8 | HP=350 | Gas | Class C
- Entegra Coach Expanse: Ford Transit gas | HP=310 | Gas | Class C
- Entegra Coach Qwest: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Entegra Coach Reatta: Cummins B6.7 360HP | HP=360 | Diesel | Class A Diesel
- Entegra Coach Reatta XL: Cummins B6.7 360HP | HP=360 | Diesel | Class A Diesel
- Entegra Coach Vision: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Entegra Coach Vision XL: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class A Gas
- Fleetwood Bounder: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Fleetwood Bounder Classic: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Fleetwood Discovery: Cummins B6.7 (ISB) 360HP | HP=360 | Diesel | Class A Diesel
- Fleetwood Discovery LXE: Cummins L9 / ISX (by year/option) | HP=450 | Diesel | Class A Diesel
- Fleetwood Flair: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Fleetwood Jamboree: Ford 7.3L V8 / 6.2L (by year) | HP=350 | Gas | Class C
- Fleetwood Pace Arrow: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Fleetwood Pulse: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Fleetwood Storm: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Fleetwood Tioga: Ford 7.3L V8 | HP=350 | Gas | Class C
- Fleetwood Tioga Ranger: Ford 6.2L / 7.3L | HP=305 | Gas | Class C
- Fleetwood Xcursion: Mercedes-Benz / RAM (by chassis year) | HP=208 | Diesel / Gas | Class B
- Forest River Berkshire: Cummins B6.7 / L9 340–450HP | HP=340 | Diesel | Class A Diesel
- Forest River Dynamax Isata (FR): Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Forest River Forester: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Forest River Forester LE: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Forest River FR3: Ford 7.3L V8 Godzilla | HP=335 | Gas | Class A Gas
- Forest River Georgetown: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Forest River Georgetown 5 Series: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Forest River Georgetown XL: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Forest River Solera: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Forest River Sunseeker: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Forest River Sunseeker Classic: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Forest River Sunseeker LE: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Gulf Stream Coach BT Cruiser: Ford V8 6.2L | HP=385 | Gas | Class C
- Gulf Stream Coach Yellowstone: Ford V8 7.3L | HP=350 | Gas | Class C
- Holiday Rambler Ambassador: Cummins B6.7 / L9 / ISL (by year) | HP=380 | Diesel | Class A Diesel
- Holiday Rambler Armada: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Holiday Rambler Augusta: Ford 7.3L V8 | HP=350 | Gas | Class C
- Holiday Rambler Invicta: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Holiday Rambler Navigator: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Holiday Rambler Vacationer: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Holiday Rambler Xpedition: Mercedes-Benz / RAM (by package) | HP=208 | Diesel / Gas | Class B
- Jayco Alante: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Jayco Embark: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Jayco Greyhawk: Ford 7.3L V8 Godzilla / 6.2L (by year) | HP=350 | Gas | Class C
- Jayco Melbourne: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Jayco Melbourne Prestige: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Jayco Precept: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Jayco Redhawk: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Jayco Seneca Super C: Ford Power Stroke 6.7L / Cummins Super C (by chassis year) | HP=330 | Diesel | Super C
- Leisure Travel Vans Free: Mercedes-Benz diesel / Ford Transit (by year) | HP=188 | Diesel / Gas | Class B
- Leisure Travel Vans Serenity: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Leisure Travel Vans Unity: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B+
- Leisure Travel Vans Wonder: Mercedes-Benz diesel / Ford Transit (select) | HP=188 | Diesel / Gas (by chassis) | Class B+
- Leisure Travel Vans Wonder XL: Mercedes-Benz diesel (Sprinter 170 EXT) | HP=188 | Diesel | Class B+
- Midwest Automotive Designs Passage: Mercedes-Benz turbodiesel / Ford Transit (MD2F) | HP=188 | Diesel / Gas | Class B
- Midwest Automotive Designs Passage Daycruiser: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class B
- Midwest Automotive Designs Weekender: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class B
- Monaco Coach Camelot: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Monaco Coach Dynasty: Cummins L9 / ISL / ISX (by year) | HP=450 | Diesel | Class A Diesel
- Monaco Coach Knight: Cummins ISL / L9 class | HP=380 | Diesel | Class A Diesel
- Newmar Bay Star: Ford 7.3L Godzilla / V10 6.8L (by year) | HP=350 | Gas | Class A Gas
- Newmar Bay Star Sport: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Newmar Canyon Star: Ford Power Stroke 6.7L / Cummins (by chassis year) | HP=330 | Diesel | Super C
- Newmar Dutch Star: Cummins L9 450HP | HP=450 | Diesel | Class A Diesel
- Newmar Essex: Cummins X15 605HP | HP=605 | Diesel | Class A Diesel
- Newmar King Aire: Cummins X15 605HP | HP=605 | Diesel | Class A Diesel
- Newmar Kountry Star: Cummins B6.7 360HP | HP=360 | Diesel | Class A Diesel
- Newmar London Aire: Cummins ISX 600HP | HP=600 | Diesel | Class A Diesel
- Newmar Mountain Aire: Cummins L9 450HP / X12 500HP (by year/option) | HP=450 | Diesel | Class A Diesel
- Newmar New Aire: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Newmar Ventana: Cummins B6.7 / L9 360–450HP | HP=360 | Diesel | Class A Diesel
- Nexus RV Ghost: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class C
- Nexus RV Phantom: Ford 7.3L / 6.2L (by year) | HP=300 | Gas | Class C
- Nexus RV Rebel Super C: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Nexus RV Triumph: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Nexus RV Viper: Ford 7.3L / 6.2L (by year) | HP=300 | Gas | Class C
- Pleasure-Way Ascent: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Pleasure-Way Lexor: Ram 3.6L V6 gas | HP=280 | Gas | Class B
- Pleasure-Way Ontour: Ford Transit EcoBoost / diesel (by year) | HP=310 | Gas / Diesel | Class B
- Pleasure-Way Ontour 2.0: Ford Transit 3.5L EcoBoost | HP=310 | Gas | Class B
- Pleasure-Way Plateau: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Pleasure-Way Plateau TS: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Regency Ultra Brougham: Mercedes-Benz 3.0L V6 | HP=188 | Diesel | Class B
- Renegade RV Classic Super C: Cummins Super C diesel | HP=360 | Diesel | Super C
- Renegade RV Ikon: Ford Power Stroke 6.7L / Super C diesel | HP=330 | Diesel | Super C
- Renegade RV Valencia: Cummins ISB / B6.7 Super C diesel | HP=340 | Diesel | Super C
- Renegade RV Verona: Cummins Super C diesel 340–360HP | HP=360 | Diesel | Super C
- Renegade RV Verona LE: Cummins Super C diesel | HP=340 | Diesel | Super C
- Renegade RV Vienna: Cummins / Ford Super C diesel | HP=330 | Diesel | Super C
- Renegade RV Villager: Ford 7.3L V8 | HP=350 | Gas | Class C
- Renegade RV Villagio: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class A Diesel
- Roadtrek Chase: Ram 3.6L V6 / Mercedes diesel (by year) | HP=188 | Gas / Diesel | Class B
- Roadtrek CS Adventurous: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Roadtrek Play: Ram 3.6L V6 gas | HP=280 | Gas | Class B
- Roadtrek Popular: Ram / Mercedes / Chevy (by era) | HP=188 | Gas / Diesel | Class B
- Roadtrek SS Agile: Ram 3.6L V6 gas | HP=280 | Gas | Class B
- Roadtrek Zion: Ram 3.6L V6 gas | HP=280 | Gas | Class B
- Roadtrek Zion Slumber: Ram 3.6L V6 gas | HP=280 | Gas | Class B
- Storyteller Overland Beast MODE: Mercedes-Benz turbodiesel AWD/4x4 | HP=188 | Diesel | Class B
- Storyteller Overland Classic MODE: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class B
- Storyteller Overland MODE: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class B
- Thor ACE: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Thor Aria: Cummins B6.7 / L9 340–450HP | HP=340 | Diesel | Class A Diesel
- Thor Challenger: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Thor Chateau: Ford 7.3L V8 Godzilla / 6.2L (by year) | HP=350 | Gas | Class C
- Thor Four Winds: Ford 7.3L V8 Godzilla / 6.2L (by year) | HP=350 | Gas | Class C
- Thor Four Winds Siesta: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class C
- Thor Gemini: Ford Transit / cutaway gas (by year) | HP=310 | Gas | Class B+
- Thor Geneva: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Thor Magnitude: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Thor Magnitude XG: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Thor Outlaw: Ford 7.3L V8 | HP=350 | Gas | Class C
- Thor Palazzo: Cummins B6.7 / L9 340–450HP | HP=340 | Diesel | Class A Diesel
- Thor Quantum: Ford 7.3L V8 Godzilla / Mercedes Sprinter (by floorplan) | HP=350 | Gas / Diesel (by plan) | Class C
- Thor Sanctuary: Mercedes-Benz Sprinter turbodiesel | HP=188 | Diesel | Class B
- Thor Seneca: Ford Power Stroke 6.7L / Cummins Super C (by year) | HP=330 | Diesel | Super C
- Thor Sequence: Mercedes-Benz 2.0L I4 turbo diesel | HP=208 | Diesel | Class B
- Thor Tuscany: Cummins L9 / ISX (by year) | HP=450 | Diesel | Class A Diesel
- Thor Windsport: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Tiffin Allegro: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Tiffin Allegro Breeze: Cummins ISB / B6.7 340HP | HP=340 | Diesel | Class A Diesel
- Tiffin Allegro Bus: Cummins L9 450HP (X12/X15 options by year) | HP=450 | Diesel | Class A Diesel
- Tiffin Allegro Bus 45OPP: Cummins L9 450HP (X12 optional) | HP=450 | Diesel | Class A Diesel
- Tiffin Allegro Red: Cummins ISB 6.7L 360HP | HP=360 | Diesel | Class A Diesel
- Tiffin Allegro Red 340: Cummins B6.7 360HP | HP=360 | Diesel | Class A Diesel
- Tiffin Allegro Red 360: Cummins L9 380–450HP | HP=380 | Diesel | Class A Diesel
- Tiffin Cahaba: Mercedes-Benz 2.0L turbodiesel | HP=208 | Diesel | Class C
- Tiffin Open Road: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Tiffin Phaeton: Cummins L9 450HP | HP=450 | Diesel | Class A Diesel
- Tiffin Wayfarer: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class C
- Tiffin Wayfarer 25: Mercedes-Benz turbodiesel | HP=188 | Diesel | Class C
- Tiffin Zephyr: Cummins X12 / X15 500–605HP | HP=500 | Diesel | Class A Diesel
- Winnebago Access Super C: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Winnebago Adventurer: Ford Triton V10 6.8L / 7.3L (by year) | HP=320 | Gas | Class A Gas
- Winnebago Boldt: Mercedes-Benz 2.0L I4 turbodiesel | HP=208 | Diesel | Class B
- Winnebago EKKO: Ford / Mercedes (by floorplan) | HP=208 | Gas / Diesel | Class C
- Winnebago Era: Mercedes-Benz turbodiesel | HP=188 | Diesel | Class B
- Winnebago Forza: Cummins B6.7 340HP | HP=340 | Diesel | Class A Diesel
- Winnebago Grand Tour: Cummins ISX / L9 (by year) | HP=450 | Diesel | Class A Diesel
- Winnebago Horizon: Cummins L9 450HP | HP=450 | Diesel | Class A Diesel
- Winnebago Intent: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class A Gas
- Winnebago Itasca Sunstar: Ford Triton V10 6.8L | HP=320 | Gas | Class A Gas
- Winnebago Journey: Cummins B6.7 340HP | HP=340 | Diesel | Class A Diesel
- Winnebago Minnie Winnie: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class C
- Winnebago Navion: Mercedes-Benz 2.0L I4 turbodiesel | HP=208 | Diesel | Class C
- Winnebago Outlook: Ford 7.3L V8 | HP=350 | Gas | Class C
- Winnebago Porto: Mercedes-Benz turbodiesel | HP=188 | Diesel | Class C
- Winnebago Revel: Mercedes-Benz 2.0L I4 turbodiesel | HP=208 | Diesel | Class B
- Winnebago Solis: RAM 3.6L V6 gas | HP=276 | Gas | Class B
- Winnebago Spirit: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class C
- Winnebago Sunstar: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class A Gas
- Winnebago Travato: RAM 3.6L V6 gas | HP=276 | Gas | Class B
- Winnebago Via: Mercedes-Benz 3.0L turbodiesel | HP=188 | Diesel | Class A Diesel
- Winnebago View: Mercedes-Benz 2.0L I4 turbodiesel | HP=208 | Diesel | Class C
- Winnebago Vista: Ford 7.3L V8 Godzilla | HP=350 | Gas | Class A Gas
- Winnebago Vita: Mercedes-Benz turbodiesel | HP=188 | Diesel | Class C
